report_id,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description,description_clean,sif_proxy,is_exact_duplicate,is_repeated_description,has_label_conflict
R000404,2017-06-11,Country_01,Local_04,Mining,I,II,Male,Third Party,Others,"In circumstances that the worker prepared food in the electric pot, by not ensuring the lid falls on his head causing the injury described.","in circumstances that the worker prepared food in the electric pot, by not ensuring the lid falls on his head causing the injury described.",0,False,False,False
R000278,2016-12-23,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others,"When performing the movement of the bar to make room and place a calibrator. Mr. Chuquillanqui pushes the bar with both hands turning it, being at that moment imprisoned the middle finger of the left hand against the other bar that was ahead.","when performing the movement of the bar to make room and place a calibrator. mr. chuquillanqui pushes the bar with both hands turning it, being at that moment imprisoned the middle finger of the left hand against the other bar that was ahead.",1,False,False,False
R000169,2016-07-08,Country_01,Local_06,Metals,III,IV,Male,Third Party,Manual Tools,"Being 10:25 h approx. hours the operator Fernando during the opening of wagons, finds a hardened stake and uses a bar of approx. 1.5m to remove it. At that moment he presses the bar and hits his hand.","being 10:25 h approx. hours the operator fernando during the opening of wagons, finds a hardened stake and uses a bar of approx. 1.5m to remove it. at that moment he presses the bar and hits his hand.",1,False,False,False
R000153,2016-06-18,Country_03,Local_10,Others,I,I,Male,Employee,Bees,"While traveling in the field in order to make geological mapping, the geologist Manoel who was accompanied by the prospector Marcos stooped to deviate from the vegetation, at that time, received three whistling stings being them, two on the face and one on the neck. There was no allergic reaction and activities followed normally after the event.","while traveling in the field in order to make geological mapping, the geologist manoel who was accompanied by the prospector marcos stooped to deviate from the vegetation, at that time, received three whistling stings being them, two on the face and one on the neck. there was no allergic reaction and activities followed normally after the event.",0,False,False,False
R000237,2016-10-11,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances,Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,employee was doing cleaning near the area of the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,0,False,False,False
R000160,2016-06-24,Country_01,Local_01,Mining,I,III,Male,Third Party,Others,"During the change of rim position 1 of the Jumbo ° 15, at moments that the mechanical technician with the support of the electrician disengaged the bolts, when loosening the fourth nut with the help of a lever (metal tube 1 ""diameter, 1.8m of length and a weight of 5.5 Kg), this bouncing effect returning to the initial position hitting in the palm of the left hand the electrician technician causing the injury. The employees at the time of the accident used their PPE's including leather gloves.","during the change of rim position 1 of the jumbo ° 15, at moments that the mechanical technician with the support of the electrician disengaged the bolts, when loosening the fourth nut with the help of a lever (metal tube 1 ""diameter, 1.8m of length and a weight of 5.5 kg), this bouncing effect returning to the initial position hitting in the palm of the left hand the electrician technician causing the injury. the employees at the time of the accident used their ppe's including leather gloves.",0,False,False,False
R000285,2016-12-31,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others,"Being approximately 8:10 p.m. Alpha operator Mr. Ronald was heading to mine when he decides to stop the equipment to accommodate the lights (left side), manipulating the support of the lighthouse, catching his fifth finger of the right hand with the protection grid and support.","being approximately 8:10 p.m. alpha operator mr. ronald was heading to mine when he decides to stop the equipment to accommodate the lights (left side), manipulating the support of the lighthouse, catching his fifth finger of the right hand with the protection grid and support.",1,False,False,False
R000357,2017-03-15,Country_02,Local_08,Metals,II,IV,Female,Employee,Chemical substances,"During the preparation for the solubilization activity of the sample in the chapel, the maid when moving the vial of nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs.","during the preparation for the solubilization activity of the sample in the chapel, the maid when moving the vial of nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs.",1,False,False,False
R000124,2016-05-20,Country_01,Local_06,Metals,I,I,Male,Third Party,Fall prevention (same level),"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.","in circumstances that the collaborator juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",0,False,False,False
R000133,2016-06-01,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,The clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his PVC sleeve caused a cut.,the clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his pvc sleeve caused a cut.,0,False,False,False
R000205,2016-09-02,Country_01,Local_03,Mining,I,I,Male,Third Party,Others,"At level 4150 (+80) Unicon plant the collaborator was doing shuttering work in the concrete water sedimentation basin, at the moment of nailing a wood as it supplies on another 4 x 4 inch strip, he feels that the metallic hammer loosen the wooden handle and to fix it, he grabs the hammer by the head and hits the handle vertically on a wood, generating the injury. At the time of the accident the employee did not use his safety gloves.","at level 4150 (+80) unicon plant the collaborator was doing shuttering work in the concrete water sedimentation basin, at the moment of nailing a wood as it supplies on another 4 x 4 inch strip, he feels that the metallic hammer loosen the wooden handle and to fix it, he grabs the hammer by the head and hits the handle vertically on a wood, generating the injury. at the time of the accident the employee did not use his safety gloves.",0,False,False,False
R000062,2016-03-18,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others,"Approximately at 11:50 a.m. in circumstances that the Messrs. of the truck crane) and William de la Cruz culminated the shipment of 03 blocks of metal plates with an approximate weight of 1800 Kg. Mr. William de the Cross (rigger) climbs onto the truck to remove the sling, places both feet under the stretcher that supported the metal plates. At that moment the central part of the stretcher is broken, as a result of which the two feet are imprisoned producing the injury.","approximately at 11:50 a.m. in circumstances that the messrs. of the truck crane) and william de la cruz culminated the shipment of 03 blocks of metal plates with an approximate weight of 1800 kg. mr. william de the cross (rigger) climbs onto the truck to remove the sling, places both feet under the stretcher that supported the metal plates. at that moment the central part of the stretcher is broken, as a result of which the two feet are imprisoned producing the injury.",1,False,False,False
R000236,2016-10-10,Country_01,Local_04,Mining,III,IV,Male,Employee,Others,"Being approx. 23:45 hrs. Mr. Eliseo secondary crushing operator, when retiring to his snack, finds the gate of the chute of strip 6 open, and when approaching to close the gate, in that At that moment, the operator Mr. Samuel who was on the upper platform, coordinates with the operator of the control room the start of strip 6-1, at that moment the start-up product projects a particle (10x6x5cm) impacting on the flange of the gate and projecting to towards the height of the lenses and respirator of Mr. Eliseo.","being approx. 23:45 hrs. mr. eliseo secondary crushing operator, when retiring to his snack, finds the gate of the chute of strip 6 open, and when approaching to close the gate, in that at that moment, the operator mr. samuel who was on the upper platform, coordinates with the operator of the control room the start of strip 6-1, at that moment the start-up product projects a particle (10x6x5cm) impacting on the flange of the gate and projecting to towards the height of the lenses and respirator of mr. eliseo.",1,False,False,False
R000348,2017-03-04,Country_02,Local_02,Mining,I,V,Male,Employee,Vehicles and Mobile Equipment,"The employee, who was hitchhiking, on the CEP 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction. Upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the CEP-403 on the right.","the employee, who was hitchhiking, on the cep 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction. upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the cep-403 on the right.",1,False,False,False
R000301,2017-01-20,Country_01,Local_06,Metals,IV,IV,Male,Third Party (Remote),Fall prevention,"At 15:05 hours, Mr. Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention.","at 15:05 hours, mr. cesar tello-moinsac, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention.",1,False,False,False
R000115,2016-05-05,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools,"During the die cutting of the feeder (PEAD geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury.","during the die cutting of the feeder (pead geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury.",0,False,False,False
R000079,2016-03-10,Country_03,Local_10,Others,II,II,Male,Third Party,Others,"When accessing the Santa do Novo area, in order to open the chop, General was moving ahead of the team in order to open access for Manetometer, when he came across an area with a steep slope and gravel presence. In a certain place of access the employee slipped, coming with this to become unbalanced. At that moment the machete that was in his left hand came to slip the right leg above the knee, causing a cut 3cm.","when accessing the santa do novo area, in order to open the chop, general was moving ahead of the team in order to open access for manetometer, when he came across an area with a steep slope and gravel presence. in a certain place of access the employee slipped, coming with this to become unbalanced. at that moment the machete that was in his left hand came to slip the right leg above the knee, causing a cut 3cm.",0,False,False,False
R000099,2016-04-23,Country_01,Local_04,Mining,I,III,Male,Employee,Others,"Being 12:20 pm. Approximately in NV 1680 OB5 CX 018, Mr. Cesar - Operator of mine services, in an instant that he was picking up the cat position one of the truck crane of plate ACL 804, when raising with the right hand the lower part of the cat is indexed the index finger of the left hand, between the body of the cylinder valve of the cat and the valve of the turntable that was in the upper part.","being 12:20 pm. approximately in nv 1680 ob5 cx 018, mr. cesar - operator of mine services, in an instant that he was picking up the cat position one of the truck crane of plate acl 804, when raising with the right hand the lower part of the cat is indexed the index finger of the left hand, between the body of the cylinder valve of the cat and the valve of the turntable that was in the upper part.",0,False,False,False
R000031,2016-02-17,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.","when the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill no. 4 and no. 5, his right knee slips due to the presence of debris spilled on the platform or floor (grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",0,False,False,False
R000207,2016-09-03,Country_01,Local_04,Mining,III,IV,Male,Employee,Others,"During the maintenance work of the vertical pump (8 "") of zinc concentrate, the three mechanics were performing lifting maneuvers to be able to position the pump to the drawer, instants in which the pump becomes clogged by the reduced space of the work area and in order to release the pump they place a young lady in the lower part, at which time she is released and turns untimely, hitting the middle finger of the injured person's right hand against a 12 ""trellex hose.","during the maintenance work of the vertical pump (8 "") of zinc concentrate, the three mechanics were performing lifting maneuvers to be able to position the pump to the drawer, instants in which the pump becomes clogged by the reduced space of the work area and in order to release the pump they place a young lady in the lower part, at which time she is released and turns untimely, hitting the middle finger of the injured person's right hand against a 12 ""trellex hose.",1,False,False,False
